label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,091215_240M,091215_240i,091215_120M,091215_120i,091215_45M,091215_45i,091215_15M,091215_15i,091215_5M,091215_5i,091215_3M,091215_3i,091215_1M,091215_1i,091215_0M,091215_0i
,0,1,12,353.0391,16.23842,0.8444471,,,,,0,0,353.0391,4472.552,4362.272,4985.888,3767.951,7989.486,2710.192,5449.761,3891.369,6844.353,5288.87,5013.156,4486.914,6952.988,5857.748,10342.82,3406.485
,0,2,11,353.0732,16.23269,0.8448369,,,,,0,0,353.0732,1865.359,1568.916,2314.12,1928.142,3060.799,2374.165,2584.434,2139.614,3306.573,2420.702,1765.477,1666.596,3719.322,2147.553,2068.65,1961.759
,0,3,16,164.0599,4.087299,0.8457764,,,,,0,0,164.0599,6851.093,7223.141,11225.68,15531.75,13936.92,10877.45,22698.55,15989.53,21889.38,13020.05,17631.51,10165.12,19512.28,14123.63,13220.11,10634.35
,0,4,16,307.1124,16.08998,0.8279759,,,,,0,0,307.1124,4002768,2080834,4501784,2224911,3794846,1866926,4169079,2296244,4253210,2626242,3430197,2395568,4410606,2330779,1430906,668555.7
,0,5,7,307.1125,15.56456,0.8092814,,,,,0,0,307.1125,5163.624,2131.119,4351.911,2052.006,4414.42,1968.941,5414.932,2108.254,6433.956,2904.637,4415.354,4004.859,6276.102,2562.497,9346.489,4627.816
,0,6,16,164.0715,4.103504,0.840119,,,,,0,0,164.0715,4634616,3305931,4729678,3604879,4592591,3143734,4647672,3168661,4951752,3664029,4334878,3423372,4489090,3411521,4031212,3270084
,0,7,14,307.1509,16.09759,0.845755,,,,,0,0,307.1509,9792.645,5824.447,18336.78,7838.977,14057.62,7511.047,12943.44,5776.048,15425.68,7632.741,13145.81,8682.919,19097.93,8506.522,7121.877,2140.984
,0,8,16,164.065,4.099693,0.8417895,,,,,0,0,164.065,6238.198,3888.438,8720.565,2835.701,4695.799,4686.144,5948.313,3988.268,7849.92,4606.469,6341.391,4207.344,5505.346,5700.558,7338.581,5499.044
,0,9,16,164.0831,4.083486,0.8444512,,,,,0,0,164.0831,6772.721,6674.449,14960.57,14501.64,14430.33,11706.92,22668.81,16830.48,22769.12,13823.87,18630.46,11908.34,19892.41,14531.99,14062.42,11028.85
,0,10,16,164.0708,4.103504,0.856699,,,,,0,0,164.0708,4684634,3359672,4752132,3642342,4645505,3181975,4685044,3258937,4984713,3716262,4390224,3501025,4620308,3505557,4162643,3368434
,0,11,16,164.0716,4.103504,0.8383508,,,,,0,0,164.0716,4681882,3356144,4749056,3638912,4643712,3178437,4682536,3256004,4982590,3714051,4388602,3498576,4618650,3504134,4161802,3368434
,0,12,16,164.0865,4.095881,0.8314533,,,,,0,0,164.0865,17115.51,11796.01,23462.01,16886.91,24175.48,16601.77,19959.35,15924.3,19365.45,16408.94,20691.28,15297.09,22062.18,18086.03,29933.79,19465.44
,0,13,15,218.1211,11.27981,0.83732,,,,,0,0,218.1211,5531.455,5560.695,11573.47,9784.331,12191.75,5799.978,12059.08,10058.53,12392.39,8056.844,15158.19,10096.36,8482.456,7663.227,14009.38,8884.538
,0,14,16,218.1265,11.2684,0.8358057,,,,,0,0,218.1265,10983.44,12478.23,15054.09,13485.66,12254.51,9554.101,16311,10178.37,12331.68,11874.36,16204.06,8504.104,17508.58,16044.85,21654.26,9812.923
,0,15,15,218.1094,11.2684,0.836377,,,,,0,0,218.1094,5049.581,4223.085,8387.956,2921.314,6522.744,4629.496,5960.591,9957.835,5870.039,4375.703,4381.551,4167.41,8064.853,5350.955,4958.451,3789.254
,0,16,16,229.1347,16.09093,0.8200771,,,,,0,0,229.1347,3270947,2023146,3395554,2207372,3102454,1872782,3275030,2169933,3281454,2448593,2912932,2295911,3436067,2173976,1573430,871340.2
,0,17,12,229.1347,15.44555,0.7466292,,,,,0,0,229.1347,13449.04,5464.717,14691.88,5848.881,13998.56,6949.505,14973.99,5933.852,18063.24,7147.742,14939.28,6822.362,13899.52,7022.438,7421.494,3376.152
,0,18,16,164.0767,4.096833,0.841463,,,,,0,0,164.0767,6848.584,5814.357,6855.012,3443.357,5664.823,4000.611,7095.632,3423.599,8221.021,3298.147,6303.243,4918.037,7705.583,5599.401,8364.902,5212.352
,0,19,16,353.0494,16.22701,0.8301809,,,,,0,0,353.0494,4548794,2987579,4882518,3476138,4699944,2884882,4827878,3175126,4959898,3710329,4534342,3557007,5000842,3430620,4697290,3285641
,0,20,14,353.0496,16.87909,0.8124035,,,,,0,0,353.0496,91510.97,55293.7,109216,55915.64,94263.05,43825.25,94725.48,50730.93,110612.9,64765.37,101110.2,57125.25,106886.1,56197.86,10925.91,7110.158
,0,21,15,229.1582,16.09474,0.8448622,,,,,0,0,229.1582,9018.745,6623.865,15820.68,8854.891,13480.52,9364.88,12002.74,7770.428,11749.88,9179.137,11939.32,8438.46,17119.87,9133.226,8942.105,3407.316
,0,22,16,229.1347,16.09093,0.8202408,,,,,0,0,229.1347,3269877,2022674,3394291,2206740,3101282,1872328,3273842,2169372,3280252,2447836,2911950,2295448,3434682,2173316,1572956,870988.3
,0,23,4,229.1347,15.49791,0.705924,,,,,0,0,229.1347,2246.378,958.6824,13489.91,902.8397,13346.55,6578.121,13850.95,5484.432,17477.25,1457.528,3191.548,1648.562,12796,6604.451,6962.69,3024.711
,0,24,16,218.1034,11.27315,0.8352137,,,,,0,0,218.1034,3566964,2760563,3568082,2979439,3353127,2380329,3452391,2362285,3807516,2732332,3393163,2726640,3806442,2779840,3707144,2755330
,0,25,16,353.0494,16.22701,0.8313677,,,,,0,0,353.0494,4549556,2988034,4883478,3476831,4701516,2885093,4829036,3175568,4961048,3711062,4535302,3557629,5001490,3430962,4697488,3286022
,0,26,5,164.0727,4.063469,0.7818556,,,,,0,0,164.0727,2013524,1145845,759742.4,1969471,1473985,1127751,2578010,1971166,1902964,1738242,2099587,2005612,1044240,2005659,2201488,1808796
,0,27,14,229.1155,16.09571,0.8328184,,,,,0,0,229.1155,4198.875,3566.13,9067.632,5106.508,11580.21,5960.275,10148.25,7793.113,11084.84,7792.879,6906.729,5813.253,6893.249,5100.375,6874.086,2632.854
,0,28,11,229.1245,16.12042,0.84395,,,,,0,0,229.1245,3298.128,1785.729,4108.596,2996.9,3408.649,2599.411,3023.237,1672.138,4232.765,4646.748,3215.871,1836.078,4356.732,1446.313,1611.98,1653.633
,0,29,16,164.0716,4.103504,0.8383775,,,,,0,0,164.0716,4681098,3354922,4748040,3637770,4642562,3177217,4681650,3255229,4981824,3713131,4387740,3497646,4618126,3503217,4161519,3368434
,0,30,16,218.1034,11.27315,0.8353496,,,,,0,0,218.1034,3567055,2761242,3568408,2979971,3353641,2380748,3452789,2362652,3808406,2732586,3394074,2727250,3807083,2780217,3706764,2751826
,0,31,16,606.0748,13.37124,0.834721,,,,,0,0,606.0748,1116935,334132.5,2056128,556604.9,2079711,742994,2231914,880112.2,2413878,1055327,2070921,1070877,2214537,968273.2,2514939,1104947
,0,32,16,164.0864,4.095881,0.8478052,,,,,0,0,164.0864,17115.51,11796.01,23462.01,16886.91,24175.48,16601.77,19959.35,15924.3,19365.45,16408.94,20691.28,15297.09,22062.18,18086.03,29933.79,19465.44
,0,33,16,218.1265,11.2684,0.8358057,,,,,0,0,218.1265,10983.44,12478.23,15054.09,13485.66,12254.51,9554.101,16311,10178.37,12331.68,11874.36,16204.06,8504.104,17508.58,16044.85,21654.26,9812.923
,0,34,16,164.1007,4.097786,0.8402348,,,,,0,0,164.1007,4824.091,4191.508,5595.379,3675.63,4458.562,3079.68,4988.622,3466.947,5636.691,3549.26,4671.69,3583.036,5140.083,3670.219,3895.316,2927.23
,0,35,16,307.1124,16.08998,0.8288201,,,,,0,0,307.1124,3990999,2075672,4501714,2220270,3794661,1865872,4168563,2295082,4240280,2619483,3420194,2390589,4408912,2329118,1426701,666552.2
,0,36,16,229.1347,16.09093,0.8211768,,,,,0,0,229.1347,3246271,2012581,3383311,2196156,3079309,1862150,3258831,2156933,3251628,2432534,2886189,2284192,3407914,2158896,1563525,867537.2
,0,37,13,229.1284,16.09952,0.8425346,,,,,0,0,229.1284,9883.686,2460.252,3471.737,3051.259,5181.765,2897.401,3254.243,5332.697,5559.749,4646.748,3613.544,4024.8,6119.736,4267.244,2691.068,1653.633
,0,38,16,307.1124,16.08998,0.8282958,,,,,0,0,307.1124,4000944,2079880,4499888,2223870,3793348,1866048,4167044,2295130,4251418,2625241,3428807,2394790,4408612,2329985,1429916,668140.2
,0,39,2,128.0433,7.613982,0.6619219,,,,,0,0,128.0433,2258.899,1447.144,6475.713,3418.245,9942.093,2935.775,9836.978,5920.441,22276.04,9109.989,4371.818,2099.025,10259.74,4825.179,2476.423,2839.497
,0,40,16,284.26,16.60966,0.8165841,,,,,0,0,284.26,1768706,1903175,1891964,1914526,1787036,1967568,1875089,1990297,1821853,1933312,1772376,1865185,1887605,1998350,1985634,2087344
,0,41,13,284.2522,16.63253,0.8284709,,,,,0,0,284.2522,1976.132,3745.618,2073.231,3314.675,2612.328,3770.258,5062.006,2998.671,1915.458,1756.119,2720.955,2305.202,3793.7,2575.962,4644.788,3671.096
,0,42,16,159.1028,14.49838,0.8342709,,,,,0,0,159.1028,1495731,1539351,1448891,1618300,1534657,1517773,1429766,1625206,1369201,1449131,1360044,1483844,1475414,1566514,1489736,1694632
