duplicate_id,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,expectedRtDiff,ppmDiff,parent,091215_240M,091215_240i,091215_120M,091215_120i,091215_45M,091215_45i,091215_15M,091215_15i,091215_5M,091215_5i,091215_3M,091215_3i,091215_1M,091215_1i,091215_0M,091215_0i
1,0.0,3.0,16.0,164.0599,4.087299,0.8457764,0.0,0.0,164.0599,6851.093,7223.141,11225.68,15531.75,13936.92,10877.45,22698.55,15989.53,21889.38,13020.05,17631.51,10165.12,19512.28,14123.63,13220.11,10634.35
1,0.0,1932.0,16.0,164.0599,4.087299,0.7962397,0.0,0.0,164.0599,6851.093,7223.141,11225.68,15531.75,13936.92,10877.45,22698.55,15989.53,21889.38,13020.05,17631.51,10165.12,19512.28,14123.63,13220.11,10634.35
2,0.0,3.0,16.0,164.0599,4.087299,0.8457764,0.0,0.0,164.0599,6851.093,7223.141,11225.68,15531.75,13936.92,10877.45,22698.55,15989.53,21889.38,13020.05,17631.51,10165.12,19512.28,14123.63,13220.11,10634.35
2,0.0,2527.0,16.0,164.0599,4.087299,0.8442817,0.0,0.0,164.0599,6851.093,7223.141,11225.68,15531.75,13936.92,10877.45,22698.55,15989.53,21889.38,13020.05,17631.51,10165.12,19512.28,14123.63,13220.11,10634.35
3,0.0,4.0,16.0,307.1124,16.08998,0.8279759,0.0,0.0,307.1124,4002768.0,2080834.0,4501784.0,2224911.0,3794846.0,1866926.0,4169079.0,2296244.0,4253210.0,2626242.0,3430197.0,2395568.0,4410606.0,2330779.0,1430906.0,668555.7
3,0.0,34.0,16.0,307.1124,16.08998,0.8288201,0.0,0.0,307.1124,3990999.0,2075672.0,4501714.0,2220270.0,3794661.0,1865872.0,4168563.0,2295082.0,4240280.0,2619483.0,3420194.0,2390589.0,4408912.0,2329118.0,1426701.0,666552.2
4,0.0,4.0,16.0,307.1124,16.08998,0.8279759,0.0,0.0,307.1124,4002768.0,2080834.0,4501784.0,2224911.0,3794846.0,1866926.0,4169079.0,2296244.0,4253210.0,2626242.0,3430197.0,2395568.0,4410606.0,2330779.0,1430906.0,668555.7
4,0.0,37.0,16.0,307.1124,16.08998,0.8282958,0.0,0.0,307.1124,4000944.0,2079880.0,4499888.0,2223870.0,3793348.0,1866048.0,4167044.0,2295130.0,4251418.0,2625241.0,3428807.0,2394790.0,4408612.0,2329985.0,1429916.0,668140.2
5,0.0,6.0,16.0,164.0716,4.103504,0.8383775,0.0,0.0,164.0716,4681098.0,3354922.0,4748040.0,3637770.0,4642562.0,3177217.0,4681650.0,3255229.0,4981824.0,3713131.0,4387740.0,3497646.0,4618126.0,3503217.0,4161519.0,3368434.0
5,0.0,10.0,16.0,164.0708,4.103504,0.856699,0.0,0.0,164.0708,4684634.0,3359672.0,4752132.0,3642342.0,4645505.0,3181975.0,4685044.0,3258937.0,4984713.0,3716262.0,4390224.0,3501025.0,4620308.0,3505557.0,4162643.0,3368434.0
